trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.522045776761016}",30,12,-43.24850515076106,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.65, 'e': 0.2725317930340126}",20,0,-40.15301013083879,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.65, 'e': 0.14227407158651353}",20,9,-4.336542726462269,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.65, 'e': 0.07427357821433388}",20,0,-65.1571208571468,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
5,False,"{'a': 0.65, 'e': 0.03877420783172201}",20,10,19.123108630038775,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.65, 'e': 0.02024191144580438}",30,14,-20.25347720642082,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.65, 'e': 0.010567204383852655}",25,10,7.804508120541049,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.65, 'e': 0.0055165644207607716}",25,15,5.1937495218841505,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.65, 'e': 0.0028798991580882404}",20,6,21.311517070816766,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.65, 'e': 0.0015034391929775724}",20,13,14.852749341150531,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.65, 'e': 0.0007848640813109316}",20,11,16.833928161849556,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.65, 'e': 0.00040973497897978643}",20,16,8.392802163564191,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.65, 'e': 0.0002139004153676611}",30,12,34.33705476508793,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.65, 'e': 0.00011166580849011478}",25,11,-11.965145363226291,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.65, 'e': 5.829466373086881e-05}",25,15,19.875249034749586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.65, 'e': 3.0432483008403625e-05}",30,2,7.386386208463344,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.65, 'e': 1.588714923088849e-05}",20,5,25.47572198286448,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.65, 'e': 8.293819160757357e-06}",30,20,20.48554074464925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.65, 'e': 4.329753266092978e-06}",25,3,35.19114692494108,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.65, 'e': 2.2603294069810542e-06}",20,0,32.820535223462905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,16,26.52499262859535,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,12,23.497297396052716,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,16,13.95327936614937,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,8,31.952364609985214,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,4,21.872725222899923,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,13,23.777426741900143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,15,16.238083742981743,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,16,6.565280602076477,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,12,19.277623521389327,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,9,19.33691380497676,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
