trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-597.3490731343478,"{0: 65, 1: 20, 2: 26, 3: 2, 4: 7}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-27,-126.94858944822646,"{0: 33, 1: 4, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,1,-129.70551724952512,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,-8,-278.58255062380493,"{0: 19, 1: 6, 2: 8, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-83,-484.89789900799053,"{0: 62, 1: 9, 2: 23, 3: 3, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-45,-210.30406152567744,"{0: 43, 1: 7, 2: 15, 3: 5, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-100,-679.3256566794344,"{0: 79, 1: 5, 2: 28, 3: 2, 4: 11}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,16,-45.45676030075638,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,-100,-608.6740008554503,"{0: 73, 1: 15, 2: 22, 3: 9, 4: 6}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-66,-460.9907097037169,"{0: 47, 1: 10, 2: 20, 3: 4, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,-5,-167.21295301301424,"{0: 19, 1: 1, 2: 13, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-100,-599.4364939156865,"{0: 80, 1: 8, 2: 23, 3: 6, 4: 8}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,-100,-586.3936616782505,"{0: 84, 1: 17, 2: 18, 3: 0, 4: 11}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-100,-488.5410925911464,"{0: 78, 1: 9, 2: 22, 3: 5, 4: 6}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,-48,-295.5924984580302,"{0: 41, 1: 6, 2: 22, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-100,-824.4368860367629,"{0: 72, 1: 11, 2: 24, 3: 4, 4: 14}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,14,-80.9316517714044,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-2,-106.24399866145997,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,-100,-745.3681987705033,"{0: 70, 1: 9, 2: 30, 3: 6, 4: 10}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,19,4.110094307337046,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,-100,-645.7461260633448,"{0: 79, 1: 14, 2: 23, 3: 5, 4: 9}",0
